BFCoverZoneDefinition 019563c5-b8aa-4a46-9f42-dabed23e1d5c
	$::Asset
		$::DataContainer
		Name AI/Settings/CoverZones_Squad_Over
	Zones::array
		member(0)::BFCoverZone
			FirstAngle -50.0
			SecondAngle 10.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek False
			Over True
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets True
			AllowProjectileFire True
		member(1)::BFCoverZone
			FirstAngle 90.0
			SecondAngle -90.0
			CloseDistance 0.0
			FarDistance 10.0
			Peek True
			Over False
			Out False
			Flanked True
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring True
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(2)::BFCoverZone
			FirstAngle 90.0
			SecondAngle -90.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek True
			Over False
			Out False
			Flanked False
			AlwaysRequestCover True
			RequestCoverIfUnderFire False
			ForceOutFiring True
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(3)::BFCoverZone
			FirstAngle 10.0
			SecondAngle 90.0
			CloseDistance 0.0
			FarDistance -1.0
			Peek False
			Over True
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(4)::BFCoverZone
			FirstAngle -50.0
			SecondAngle 10.0
			CloseDistance 0.0
			FarDistance 10.0
			Peek False
			Over True
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(5)::BFCoverZone
			FirstAngle -90.0
			SecondAngle -50.0
			CloseDistance 0.0
			FarDistance -1.0
			Peek False
			Over True
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
